1.0658	0.38333	0.064609	0.064609	0.029836	0.029836	
1.2167	0.4115	0.080739	0.080739	0.031729	0.031729	
1.4027	0.43581	0.093078	0.093078	0.032561	0.032561	
1.6013	0.45077	0.098907	0.098907	0.033679	0.033679	
1.828	0.45383	0.1213	0.1213	0.033908	0.033908	
2.1074	0.43876	0.14947	0.14947	0.032782	0.032782	
2.4176	0.41569	0.16042	0.16042	0.032052	0.032052	
2.7599	0.38724	0.18314	0.18314	0.028932	0.028932	
3.1507	0.32598	0.19099	0.19099	0.024356	0.024356	
3.6144	0.27909	0.23984	0.23984	0.021519	0.021519	
4.1669	0.21739	0.2765	0.2765	0.01692	0.01692	
4.7802	0.17456	0.3172	0.3172	0.013586	0.013586	
5.4838	0.14995	0.36389	0.36389	0.011671	0.011671	
6.291	0.13643	0.41745	0.41745	0.010619	0.010619	
7.1817	0.13781	0.44359	0.44359	0.011128	0.011128	
8.2389	0.13781	0.5467	0.5467	0.011155	0.011155	
9.4054	0.14546	0.58094	0.58094	0.011774	0.011774	
10.737	0.16819	0.71247	0.71247	0.014196	0.014196	
12.317	0.1728	0.81089	0.81089	0.014585	0.014585	
14.131	0.19579	0.93025	0.93025	0.016525	0.016525	
16.211	0.21593	1.0757	1.0757	0.018225	0.018225	
18.597	0.25478	1.3217	1.3217	0.023376	0.023376	
21.544	0.28004	1.4296	1.4296	0.025693	0.025693	
24.474	0.2848	1.4836	1.4836	0.027182	0.027182	
27.94	0.31837	1.9857	1.9857	0.030386	0.030386	
33.663	0.37061	3.6518	3.6518	0.035699	0.035699	
42.39	0.38724	4.8295	4.8295	0.039656	0.039656	
53.641	0.45383	6.1114	6.1114	0.048375	0.048375	
67.547	0.60468	7.2053	7.2053	0.073553	0.073553	
85.057	0.6129	9.4449	9.4449	0.074553	0.074553	
107.11	0.71106	12.203	12.203	0.087725	0.087725	
134.87	0.57288	14.387	14.387	0.074057	0.074057	
169.84	0.69211	18.859	18.859	0.097554	0.097554	
214.92	0.72317	23.864	23.864	0.10177	0.10177	
269.31	0.76589	28.727	28.727	0.099007	0.099007	
