# Version 1.0
# DOI https://doi.org/10.1103/PhysRevC.87.034911
# Source https://www.phenix.bnl.gov/phenix/WWW/info/data/ppg133/app_pi0raa.txt
# Experiment PHENIX
# System AuAu200
# Centrality 30to40
# XY pT RAA 
# Label x y stat,low stat,high corr,low corr,high global,low global,high 
5.25 4.4084e-01 3.1664e-03 3.1664e-03 5.6375e-02 5.6375e-02 5.7412e-02 5.7412e-02
5.75 4.2344e-01 4.1374e-03 4.1374e-03 5.4276e-02 5.4276e-02 5.5146e-02 5.5146e-02
6.25 4.3944e-01 5.5768e-03 5.5768e-03 5.6450e-02 5.6450e-02 5.7230e-02 5.7230e-02
6.75 4.3407e-01 7.2185e-03 7.2185e-03 5.5889e-02 5.5889e-02 5.6530e-02 5.6530e-02
7.25 4.1864e-01 8.8532e-03 8.8532e-03 5.4047e-02 5.4047e-02 5.4521e-02 5.4521e-02
7.75 4.3982e-01 1.1350e-02 1.1350e-02 5.6950e-02 5.6950e-02 5.7280e-02 5.7280e-02
8.25 4.3974e-01 1.4103e-02 1.4103e-02 5.3449e-02 5.3449e-02 5.7269e-02 5.7269e-02
8.75 4.3130e-01 1.6747e-02 1.6747e-02 5.2658e-02 5.2658e-02 5.6169e-02 5.6169e-02
9.25 4.1934e-01 2.0429e-02 2.0429e-02 5.1548e-02 5.1548e-02 5.4612e-02 5.4612e-02
9.75 4.2906e-01 2.5320e-02 2.5320e-02 5.4252e-02 5.4252e-02 5.5878e-02 5.5878e-02
11 4.5256e-01 1.8683e-02 1.8683e-02 6.7716e-02 6.7716e-02 5.8938e-02 5.8938e-02
13 4.7623e-01 3.6342e-02 3.6342e-02 9.9448e-02 9.9448e-02 6.2022e-02 6.2022e-02
15 5.9690e-01 9.2052e-02 9.2052e-02 1.6669e-01 1.6669e-01 7.7736e-02 7.7736e-02
17 5.0019e-01 1.3823e-01 1.3823e-01 1.7852e-01 1.7852e-01 6.5141e-02 6.5141e-02
19 5.4226e-01 2.6761e-01 2.6761e-01 2.3669e-01 2.3669e-01 7.0620e-02 7.0620e-02
