# Version 1.0
# DOI https://doi.org/10.1103/PhysRevC.87.034911
# Source https://www.phenix.bnl.gov/phenix/WWW/info/data/ppg133/app_pi0raa.txt
# Experiment PHENIX
# System AuAu200
# Centrality 50to60
# XY pT RAA 
# Label x y stat,low stat,high corr,low corr,high global,low global,high 
5.25 6.6913e-01 6.1648e-03 6.1648e-03 8.5570e-02 8.5570e-02 1.1418e-01 1.1418e-01
5.75 6.5167e-01 8.2129e-03 8.2129e-03 8.3529e-02 8.3529e-02 1.1120e-01 1.1120e-01
6.25 6.7756e-01 1.1231e-02 1.1231e-02 8.7038e-02 8.7038e-02 1.1562e-01 1.1562e-01
6.75 6.7646e-01 1.4583e-02 1.4583e-02 8.7097e-02 8.7097e-02 1.1543e-01 1.1543e-01
7.25 6.5326e-01 1.8283e-02 1.8283e-02 8.4337e-02 8.4337e-02 1.1147e-01 1.1147e-01
7.75 6.5625e-01 2.2857e-02 2.2857e-02 8.4974e-02 8.4974e-02 1.1198e-01 1.1198e-01
8.25 6.8512e-01 2.9741e-02 2.9741e-02 8.3274e-02 8.3274e-02 1.1691e-01 1.1691e-01
8.75 6.3994e-01 3.4364e-02 3.4364e-02 7.8132e-02 7.8132e-02 1.0920e-01 1.0920e-01
9.25 6.3385e-01 4.3123e-02 4.3123e-02 7.7918e-02 7.7918e-02 1.0816e-01 1.0816e-01
9.75 7.2547e-01 5.5419e-02 5.5419e-02 9.1730e-02 9.1730e-02 1.2379e-01 1.2379e-01
11 6.4485e-01 3.7804e-02 3.7804e-02 9.6489e-02 9.6489e-02 1.1003e-01 1.1003e-01
13 7.3783e-01 8.5261e-02 8.5261e-02 1.5408e-01 1.5408e-01 1.2590e-01 1.2590e-01
15 8.2173e-01 1.6000e-01 1.6000e-01 2.2947e-01 2.2947e-01 1.4022e-01 1.4022e-01
17 5.0973e-01 2.3775e-01 2.3775e-01 1.8193e-01 1.8193e-01 8.6978e-02 8.6978e-02
19 3.7620e-01 3.8430e-01 3.8430e-01 1.6420e-01 1.6420e-01 6.4193e-02 6.4193e-02
